gateway_transaction_id,payment_id,amount,gateway_fee,tax_on_fee,settlement_date,status,created_at
GTW_P0138,P0138,67700.00,1354.00,243.72,2026-08-13,CAPTURED,2026-08-23 19:01:09.708796+00:00
GTW_P0016,P0016,49900.00,998.00,179.64,2026-08-12,CAPTURED,2026-08-23 19:01:09.682118+00:00
GTW_P0018,P0018,121100.00,2422.00,435.96,2026-08-12,CAPTURED,2026-08-23 19:01:09.682274+00:00
GTW_P0036,P0036,18100.00,362.00,65.16,2026-08-12,CAPTURED,2026-08-23 19:01:09.683349+00:00
GTW_P0057,P0057,120700.00,2414.00,434.52,2026-08-12,CAPTURED,2026-08-23 19:01:09.684670+00:00
GTW_P0059,P0059,98600.00,1972.00,354.96,2026-08-12,CAPTURED,2026-08-23 19:01:09.684783+00:00
GTW_P0066,P0066,48100.00,962.00,173.16,2026-08-12,CAPTURED,2026-08-23 19:01:09.685253+00:00
GTW_P0091,P0091,123700.00,2474.00,445.32,2026-08-12,CAPTURED,2026-08-23 19:01:09.686825+00:00
GTW_P0093,P0093,140900.00,2818.00,507.24,2026-08-12,CAPTURED,2026-08-23 19:01:09.686990+00:00
GTW_P0099,P0099,141700.00,2834.00,510.12,2026-08-12,CAPTURED,2026-08-23 19:01:09.687398+00:00
GTW_P0126,P0126,137600.00,2752.00,495.36,2026-08-12,CAPTURED,2026-08-23 19:01:09.707563+00:00
GTW_P0132,P0132,106200.00,2124.00,382.32,2026-08-12,CAPTURED,2026-08-23 19:01:09.708191+00:00
GTW_P0063,P0063,116200.00,2324.00,418.32,2026-08-11,CAPTURED,2026-08-23 19:01:09.685030+00:00
GTW_P0124,P0124,25800.00,516.00,92.88,2026-08-11,CAPTURED,2026-08-23 19:01:09.688911+00:00
GTW_P0137,P0137,24000.00,480.00,86.40,2026-08-11,CAPTURED,2026-08-23 19:01:09.708641+00:00
GTW_P0140,P0140,60400.00,1208.00,217.44,2026-08-11,CAPTURED,2026-08-23 19:01:09.708963+00:00
GTW_P0146,P0146,118300.00,2366.00,425.88,2026-08-11,CAPTURED,2026-08-23 19:01:09.709051+00:00
GTW_P0147,P0147,7500.00,150.00,27.00,2026-08-11,CAPTURED,2026-08-23 19:01:09.709136+00:00
GTW_P0001,P0001,10100.00,202.00,36.36,2026-08-10,CAPTURED,2026-08-23 19:01:09.681142+00:00
GTW_P0005,P0005,125600.00,2512.00,452.16,2026-08-10,CAPTURED,2026-08-23 19:01:09.681469+00:00
GTW_P0006,P0006,74600.00,1492.00,268.56,2026-08-10,CAPTURED,2026-08-23 19:01:09.681527+00:00
GTW_P0008,P0008,75400.00,1508.00,271.44,2026-08-10,CAPTURED,2026-08-23 19:01:09.681639+00:00
GTW_P0020,P0020,55500.00,1110.00,199.80,2026-08-10,CAPTURED,2026-08-23 19:01:09.682387+00:00
GTW_P0033,P0033,38800.00,776.00,139.68,2026-08-10,CAPTURED,2026-08-23 19:01:09.683178+00:00
GTW_P0050,P0050,84900.00,1698.00,305.64,2026-08-10,CAPTURED,2026-08-23 19:01:09.684211+00:00
GTW_P0058,P0058,53800.00,1076.00,193.68,2026-08-10,CAPTURED,2026-08-23 19:01:09.684727+00:00
GTW_P0061,P0061,108600.00,2172.00,390.96,2026-08-10,CAPTURED,2026-08-23 19:01:09.684917+00:00
GTW_P0067,P0067,105000.00,2100.00,378.00,2026-08-10,CAPTURED,2026-08-23 19:01:09.685309+00:00
GTW_P0069,P0069,135400.00,2708.00,487.44,2026-08-10,CAPTURED,2026-08-23 19:01:09.685420+00:00
GTW_P0081,P0081,19200.00,384.00,69.12,2026-08-10,CAPTURED,2026-08-23 19:01:09.686133+00:00
GTW_P0102,P0102,95000.00,1900.00,342.00,2026-08-10,CAPTURED,2026-08-23 19:01:09.687579+00:00
GTW_P0116,P0116,82600.00,2152.00,297.36,2026-08-10,CAPTURED,2026-08-23 19:01:09.688433+00:00
GTW_P0133,P0133,77600.00,1552.00,279.36,2026-08-10,CAPTURED,2026-08-23 19:01:09.708301+00:00
GTW_P0134,P0134,148600.00,2972.00,534.96,2026-08-10,CAPTURED,2026-08-23 19:01:09.708389+00:00
GTW_P0011,P0011,140400.00,2808.00,505.44,2026-08-09,CAPTURED,2026-08-23 19:01:09.681824+00:00
GTW_P0021,P0021,79100.00,1582.00,284.76,2026-08-09,CAPTURED,2026-08-23 19:01:09.682442+00:00
GTW_P0037,P0037,52100.00,1042.00,187.56,2026-08-09,CAPTURED,2026-08-23 19:01:09.683405+00:00
GTW_P0039,P0039,110200.00,2204.00,396.72,2026-08-09,CAPTURED,2026-08-23 19:01:09.683531+00:00
GTW_P0044,P0044,27300.00,546.00,98.28,2026-08-09,CAPTURED,2026-08-23 19:01:09.683810+00:00
GTW_P0046,P0046,99700.00,1994.00,358.92,2026-08-09,CAPTURED,2026-08-23 19:01:09.683946+00:00
GTW_P0055,P0055,143200.00,2864.00,515.52,2026-08-09,CAPTURED,2026-08-23 19:01:09.684554+00:00
GTW_P0074,P0074,144600.00,2892.00,520.56,2026-08-09,CAPTURED,2026-08-23 19:01:09.685713+00:00
GTW_P0077,P0077,142100.00,2842.00,511.56,2026-08-09,CAPTURED,2026-08-23 19:01:09.685903+00:00
GTW_P0097,P0097,92000.00,1840.00,331.20,2026-08-09,CAPTURED,2026-08-23 19:01:09.687285+00:00
GTW_P0098,P0098,119100.00,2382.00,428.76,2026-08-09,CAPTURED,2026-08-23 19:01:09.687341+00:00
GTW_P0106,P0106,90100.00,1802.00,324.36,2026-08-09,CAPTURED,2026-08-23 19:01:09.687803+00:00
GTW_P0130,P0130,71000.00,1420.00,255.60,2026-08-09,CAPTURED,2026-08-23 19:01:09.708023+00:00
GTW_P0135,P0135,22500.00,450.00,81.00,2026-08-09,CAPTURED,2026-08-23 19:01:09.708471+00:00
GTW_P0003,P0003,24100.00,482.00,86.76,2026-08-08,CAPTURED,2026-08-23 19:01:09.681341+00:00
GTW_P0004,P0004,10400.00,208.00,37.44,2026-08-08,CAPTURED,2026-08-23 19:01:09.681398+00:00
GTW_P0028,P0028,129700.00,2594.00,466.92,2026-08-08,CAPTURED,2026-08-23 19:01:09.682836+00:00
GTW_P0034,P0034,146200.00,2924.00,526.32,2026-08-08,CAPTURED,2026-08-23 19:01:09.683237+00:00
GTW_P0041,P0041,88300.00,1766.00,317.88,2026-08-08,CAPTURED,2026-08-23 19:01:09.683643+00:00
GTW_P0080,P0080,9800.00,196.00,35.28,2026-08-08,CAPTURED,2026-08-23 19:01:09.686078+00:00
GTW_P0107,P0107,124600.00,2492.00,448.56,2026-08-08,CAPTURED,2026-08-23 19:01:09.687877+00:00
GTW_P0115,P0115,72000.00,1940.00,259.20,2026-08-08,CAPTURED,2026-08-23 19:01:09.688376+00:00
GTW_P0123,P0123,86200.00,1724.00,310.32,2026-08-08,CAPTURED,2026-08-23 19:01:09.688828+00:00
GTW_P0027,P0027,58900.00,1178.00,212.04,2026-08-07,CAPTURED,2026-08-23 19:01:09.682779+00:00
GTW_P0054,P0054,21400.00,428.00,77.04,2026-08-07,CAPTURED,2026-08-23 19:01:09.684458+00:00
GTW_P0100,P0100,96300.00,1926.00,346.68,2026-08-07,CAPTURED,2026-08-23 19:01:09.687466+00:00
GTW_P0114,P0114,99500.00,2490.00,358.20,2026-08-07,CAPTURED,2026-08-23 19:01:09.688320+00:00
GTW_P0121,P0121,80500.00,1610.00,289.80,2026-08-07,CAPTURED,2026-08-23 19:01:09.688716+00:00
GTW_P0128,P0128,94100.00,1882.00,338.76,2026-08-07,CAPTURED,2026-08-23 19:01:09.707834+00:00
GTW_P0148,P0148,74700.00,1494.00,268.92,2026-08-07,CAPTURED,2026-08-23 19:01:09.709224+00:00
GTW_P0032,P0032,114000.00,2280.00,410.40,2026-08-06,CAPTURED,2026-08-23 19:01:09.683082+00:00
GTW_P0040,P0040,115400.00,2308.00,415.44,2026-08-06,CAPTURED,2026-08-23 19:01:09.683587+00:00
GTW_P0045,P0045,96800.00,1936.00,348.48,2026-08-06,CAPTURED,2026-08-23 19:01:09.683888+00:00
GTW_P0065,P0065,26900.00,538.00,96.84,2026-08-06,CAPTURED,2026-08-23 19:01:09.685191+00:00
GTW_P0071,P0071,146500.00,2930.00,527.40,2026-08-06,CAPTURED,2026-08-23 19:01:09.685546+00:00
GTW_P0072,P0072,118100.00,2362.00,425.16,2026-08-06,CAPTURED,2026-08-23 19:01:09.685602+00:00
GTW_P0075,P0075,88200.00,1764.00,317.52,2026-08-06,CAPTURED,2026-08-23 19:01:09.685770+00:00
GTW_P0094,P0094,45700.00,914.00,164.52,2026-08-06,CAPTURED,2026-08-23 19:01:09.687066+00:00
GTW_P0025,P0025,144300.00,2886.00,519.48,2026-08-05,CAPTURED,2026-08-23 19:01:09.682666+00:00
GTW_P0043,P0043,142900.00,2858.00,514.44,2026-08-05,CAPTURED,2026-08-23 19:01:09.683754+00:00
GTW_P0060,P0060,132200.00,2644.00,475.92,2026-08-05,CAPTURED,2026-08-23 19:01:09.684843+00:00
GTW_P0064,P0064,140800.00,2816.00,506.88,2026-08-05,CAPTURED,2026-08-23 19:01:09.685086+00:00
GTW_P0087,P0087,140800.00,2816.00,506.88,2026-08-05,CAPTURED,2026-08-23 19:01:09.686507+00:00
GTW_P0120,P0120,101900.00,2538.00,366.84,2026-08-05,CAPTURED,2026-08-23 19:01:09.688660+00:00
GTW_P0002,P0002,25900.00,518.00,93.24,2026-08-04,CAPTURED,2026-08-23 19:01:09.681282+00:00
GTW_P0007,P0007,25900.00,518.00,93.24,2026-08-04,CAPTURED,2026-08-23 19:01:09.681583+00:00
GTW_P0014,P0014,148700.00,2974.00,535.32,2026-08-04,CAPTURED,2026-08-23 19:01:09.682007+00:00
GTW_P0031,P0031,54300.00,1086.00,195.48,2026-08-04,CAPTURED,2026-08-23 19:01:09.683025+00:00
GTW_P0038,P0038,51800.00,1036.00,186.48,2026-08-04,CAPTURED,2026-08-23 19:01:09.683474+00:00
GTW_P0095,P0095,130100.00,2602.00,468.36,2026-08-04,CAPTURED,2026-08-23 19:01:09.687124+00:00
GTW_P0118,P0118,138100.00,3262.00,497.16,2026-08-04,CAPTURED,2026-08-23 19:01:09.688546+00:00
GTW_P0149,P0149,28300.00,566.00,101.88,2026-08-04,CAPTURED,2026-08-23 19:01:09.709302+00:00
GTW_P0022,P0022,23600.00,472.00,84.96,2026-08-03,CAPTURED,2026-08-23 19:01:09.682499+00:00
GTW_P0047,P0047,25000.00,500.00,90.00,2026-08-03,CAPTURED,2026-08-23 19:01:09.684002+00:00
GTW_P0049,P0049,87100.00,1742.00,313.56,2026-08-03,CAPTURED,2026-08-23 19:01:09.684114+00:00
GTW_P0052,P0052,49500.00,990.00,178.20,2026-08-03,CAPTURED,2026-08-23 19:01:09.684324+00:00
GTW_P0056,P0056,55400.00,1108.00,199.44,2026-08-03,CAPTURED,2026-08-23 19:01:09.684613+00:00
GTW_P0068,P0068,61600.00,1232.00,221.76,2026-08-03,CAPTURED,2026-08-23 19:01:09.685365+00:00
GTW_P0078,P0078,83300.00,1666.00,299.88,2026-08-03,CAPTURED,2026-08-23 19:01:09.685965+00:00
GTW_P0083,P0083,59300.00,1186.00,213.48,2026-08-03,CAPTURED,2026-08-23 19:01:09.686284+00:00
GTW_P0150,P0150,123100.00,2462.00,443.16,2026-08-03,CAPTURED,2026-08-23 19:01:09.709359+00:00
GTW_P0029,P0029,115400.00,2308.00,415.44,2026-08-02,CAPTURED,2026-08-23 19:01:09.682912+00:00
GTW_P0076,P0076,89400.00,1788.00,321.84,2026-08-02,CAPTURED,2026-08-23 19:01:09.685826+00:00
GTW_P0082,P0082,72800.00,1456.00,262.08,2026-08-02,CAPTURED,2026-08-23 19:01:09.686227+00:00
GTW_P0090,P0090,88100.00,1762.00,317.16,2026-08-02,CAPTURED,2026-08-23 19:01:09.686707+00:00
GTW_P0112,P0112,132400.00,3148.00,476.64,2026-08-02,CAPTURED,2026-08-23 19:01:09.688207+00:00
GTW_P0113,P0113,140700.00,3314.00,506.52,2026-08-02,CAPTURED,2026-08-23 19:01:09.688264+00:00
GTW_P0117,P0117,101300.00,2526.00,364.68,2026-08-02,CAPTURED,2026-08-23 19:01:09.688489+00:00
GTW_P0119,P0119,45800.00,1416.00,164.88,2026-08-02,CAPTURED,2026-08-23 19:01:09.688603+00:00
GTW_P0122,P0122,27100.00,542.00,97.56,2026-08-02,CAPTURED,2026-08-23 19:01:09.688772+00:00
