payment_id,customer_name,amount,currency,payment_date,gateway,created_at
P0141,HDFC Life Insurance,44400.00,INR,2026-08-11,RAZORPAY,2026-08-23 19:01:09.654033+00:00
P0063,Titan Company Ltd,116200.00,INR,2026-08-10,RAZORPAY,2026-08-23 19:01:09.650534+00:00
P0108,Tata Consultancy Services,77000.00,INR,2026-08-10,CASHFREE,2026-08-23 19:01:09.652594+00:00
P0124,Paytm One97 Comm,25800.00,INR,2026-08-10,RAZORPAY,2026-08-23 19:01:09.653281+00:00
P0137,Tata Consultancy Services,24000.00,INR,2026-08-10,STRIPE_IN,2026-08-23 19:01:09.653870+00:00
P0140,Titan Company Ltd,60400.00,INR,2026-08-10,PAYU,2026-08-23 19:01:09.653993+00:00
P0143,MakeMyTrip India,112400.00,INR,2026-08-10,RAZORPAY,2026-08-23 19:01:09.677205+00:00
P0146,Reliance Retail Ltd,118300.00,INR,2026-08-10,STRIPE_IN,2026-08-23 19:01:09.677353+00:00
P0147,HDFC Life Insurance,7500.00,INR,2026-08-10,CASHFREE,2026-08-23 19:01:09.677394+00:00
P0001,HDFC Life Insurance,10100.00,INR,2026-08-09,STRIPE_IN,2026-08-23 19:01:09.642100+00:00
P0005,Titan Company Ltd,125600.00,INR,2026-08-09,RAZORPAY,2026-08-23 19:01:09.647374+00:00
P0006,Apollo Hospitals Ent,74600.00,INR,2026-08-09,STRIPE_IN,2026-08-23 19:01:09.647430+00:00
P0008,Bharti Airtel Ltd,75400.00,INR,2026-08-09,RAZORPAY,2026-08-23 19:01:09.647538+00:00
P0020,Zomato Media Pvt Ltd,55500.00,INR,2026-08-09,CASHFREE,2026-08-23 19:01:09.648236+00:00
P0033,Delhivery Logistics,38800.00,INR,2026-08-09,CASHFREE,2026-08-23 19:01:09.649069+00:00
P0050,Tata Consultancy Services,84900.00,INR,2026-08-09,CASHFREE,2026-08-23 19:01:09.649966+00:00
P0058,Mahindra & Mahindra,53800.00,INR,2026-08-09,CASHFREE,2026-08-23 19:01:09.650291+00:00
P0061,Flipkart Internet Pvt Ltd,108600.00,INR,2026-08-09,STRIPE_IN,2026-08-23 19:01:09.650454+00:00
P0067,Ola ANI Technologies,105000.00,INR,2026-08-09,RAZORPAY,2026-08-23 19:01:09.650722+00:00
P0069,Zomato Media Pvt Ltd,135400.00,INR,2026-08-09,STRIPE_IN,2026-08-23 19:01:09.650802+00:00
P0081,Zerodha Broking Ltd,19200.00,INR,2026-08-09,PAYU,2026-08-23 19:01:09.651418+00:00
P0101,Paytm One97 Comm,135500.00,INR,2026-08-09,CASHFREE,2026-08-23 19:01:09.652265+00:00
P0116,Mahindra & Mahindra,82600.00,INR,2026-08-09,CASHFREE,2026-08-23 19:01:09.652961+00:00
P0133,Flipkart Internet Pvt Ltd,77600.00,INR,2026-08-09,PAYU,2026-08-23 19:01:09.653712+00:00
P0134,Urban Company Technologies,148600.00,INR,2026-08-09,RAZORPAY,2026-08-23 19:01:09.653752+00:00
P0011,Reliance Retail Ltd,140400.00,INR,2026-08-08,PAYU,2026-08-23 19:01:09.647755+00:00
P0021,Larsen & Toubro Ltd,79100.00,INR,2026-08-08,STRIPE_IN,2026-08-23 19:01:09.648365+00:00
P0037,Delhivery Logistics,52100.00,INR,2026-08-08,RAZORPAY,2026-08-23 19:01:09.649288+00:00
P0039,Infosys Technologies,110200.00,INR,2026-08-08,PAYU,2026-08-23 19:01:09.649397+00:00
P0044,Mahindra & Mahindra,27300.00,INR,2026-08-08,STRIPE_IN,2026-08-23 19:01:09.649724+00:00
P0046,Zerodha Broking Ltd,99700.00,INR,2026-08-08,RAZORPAY,2026-08-23 19:01:09.649803+00:00
P0055,Infosys Technologies,143200.00,INR,2026-08-08,CASHFREE,2026-08-23 19:01:09.650170+00:00
P0074,Flipkart Internet Pvt Ltd,144600.00,INR,2026-08-08,RAZORPAY,2026-08-23 19:01:09.651024+00:00
P0077,Apollo Hospitals Ent,142100.00,INR,2026-08-08,PAYU,2026-08-23 19:01:09.651144+00:00
P0097,HDFC Life Insurance,92000.00,INR,2026-08-08,STRIPE_IN,2026-08-23 19:01:09.652102+00:00
P0098,Reliance Retail Ltd,119100.00,INR,2026-08-08,RAZORPAY,2026-08-23 19:01:09.652145+00:00
P0109,Delhivery Logistics,116800.00,INR,2026-08-08,CASHFREE,2026-08-23 19:01:09.652656+00:00
P0130,Zerodha Broking Ltd,71000.00,INR,2026-08-08,RAZORPAY,2026-08-23 19:01:09.653570+00:00
P0135,Flipkart Internet Pvt Ltd,22500.00,INR,2026-08-08,CASHFREE,2026-08-23 19:01:09.653792+00:00
P0003,Tata Consultancy Services,24100.00,INR,2026-08-07,STRIPE_IN,2026-08-23 19:01:09.647257+00:00
P0004,Urban Company Technologies,10400.00,INR,2026-08-07,CASHFREE,2026-08-23 19:01:09.647318+00:00
P0028,Ola ANI Technologies,129700.00,INR,2026-08-07,STRIPE_IN,2026-08-23 19:01:09.648779+00:00
P0034,Delhivery Logistics,146200.00,INR,2026-08-07,PAYU,2026-08-23 19:01:09.649122+00:00
P0041,Nykaa FSN E-Commerce,88300.00,INR,2026-08-07,RAZORPAY,2026-08-23 19:01:09.649503+00:00
P0080,Paytm One97 Comm,9800.00,INR,2026-08-07,CASHFREE,2026-08-23 19:01:09.651301+00:00
P0115,Larsen & Toubro Ltd,72000.00,INR,2026-08-07,CASHFREE,2026-08-23 19:01:09.652921+00:00
P0123,Larsen & Toubro Ltd,86200.00,INR,2026-08-07,RAZORPAY,2026-08-23 19:01:09.653241+00:00
P0142,Swiggy Bundl Technologies,44200.00,INR,2026-08-07,CASHFREE,2026-08-23 19:01:09.654073+00:00
P0027,Tata Consultancy Services,58900.00,INR,2026-08-06,RAZORPAY,2026-08-23 19:01:09.648725+00:00
P0054,Ola ANI Technologies,21400.00,INR,2026-08-06,RAZORPAY,2026-08-23 19:01:09.650129+00:00
P0100,Delhivery Logistics,96300.00,INR,2026-08-06,CASHFREE,2026-08-23 19:01:09.652225+00:00
P0114,Zomato Media Pvt Ltd,99500.00,INR,2026-08-06,RAZORPAY,2026-08-23 19:01:09.652881+00:00
P0121,Zerodha Broking Ltd,80500.00,INR,2026-08-06,RAZORPAY,2026-08-23 19:01:09.653161+00:00
P0128,Zomato Media Pvt Ltd,94100.00,INR,2026-08-06,PAYU,2026-08-23 19:01:09.653488+00:00
P0148,Titan Company Ltd,74700.00,INR,2026-08-06,RAZORPAY,2026-08-23 19:01:09.677447+00:00
P0032,Infosys Technologies,114000.00,INR,2026-08-05,STRIPE_IN,2026-08-23 19:01:09.649016+00:00
P0040,Flipkart Internet Pvt Ltd,115400.00,INR,2026-08-05,CASHFREE,2026-08-23 19:01:09.649450+00:00
P0045,Delhivery Logistics,96800.00,INR,2026-08-05,CASHFREE,2026-08-23 19:01:09.649764+00:00
P0065,HDFC Life Insurance,26900.00,INR,2026-08-05,PAYU,2026-08-23 19:01:09.650628+00:00
P0071,Infosys Technologies,146500.00,INR,2026-08-05,RAZORPAY,2026-08-23 19:01:09.650898+00:00
P0072,MakeMyTrip India,118100.00,INR,2026-08-05,CASHFREE,2026-08-23 19:01:09.650938+00:00
P0075,Delhivery Logistics,88200.00,INR,2026-08-05,STRIPE_IN,2026-08-23 19:01:09.651064+00:00
P0094,Paytm One97 Comm,45700.00,INR,2026-08-05,RAZORPAY,2026-08-23 19:01:09.651982+00:00
P0145,Tata Consultancy Services,150000.00,INR,2026-08-05,PAYU,2026-08-23 19:01:09.677311+00:00
P0025,Tata Consultancy Services,144300.00,INR,2026-08-04,PAYU,2026-08-23 19:01:09.648590+00:00
P0043,Reliance Retail Ltd,142900.00,INR,2026-08-04,RAZORPAY,2026-08-23 19:01:09.649683+00:00
P0060,Titan Company Ltd,132200.00,INR,2026-08-04,RAZORPAY,2026-08-23 19:01:09.650409+00:00
P0064,Wipro Enterprises,140800.00,INR,2026-08-04,STRIPE_IN,2026-08-23 19:01:09.650574+00:00
P0087,Mahindra & Mahindra,140800.00,INR,2026-08-04,PAYU,2026-08-23 19:01:09.651696+00:00
P0120,Zomato Media Pvt Ltd,101900.00,INR,2026-08-04,STRIPE_IN,2026-08-23 19:01:09.653121+00:00
P0002,Zomato Media Pvt Ltd,25900.00,INR,2026-08-03,CASHFREE,2026-08-23 19:01:09.647118+00:00
P0007,Mahindra & Mahindra,25900.00,INR,2026-08-03,CASHFREE,2026-08-23 19:01:09.647483+00:00
P0014,Zerodha Broking Ltd,148700.00,INR,2026-08-03,STRIPE_IN,2026-08-23 19:01:09.647916+00:00
P0031,Reliance Retail Ltd,54300.00,INR,2026-08-03,RAZORPAY,2026-08-23 19:01:09.648962+00:00
P0038,Reliance Retail Ltd,51800.00,INR,2026-08-03,RAZORPAY,2026-08-23 19:01:09.649344+00:00
P0095,Nykaa FSN E-Commerce,130100.00,INR,2026-08-03,CASHFREE,2026-08-23 19:01:09.652022+00:00
P0102,Zerodha Broking Ltd,95000.00,INR,2026-08-03,PAYU,2026-08-23 19:01:09.652305+00:00
P0118,Paytm One97 Comm,138100.00,INR,2026-08-03,RAZORPAY,2026-08-23 19:01:09.653039+00:00
P0149,Nykaa FSN E-Commerce,28300.00,INR,2026-08-03,CASHFREE,2026-08-23 19:01:09.677489+00:00
P0022,Nykaa FSN E-Commerce,23600.00,INR,2026-08-02,RAZORPAY,2026-08-23 19:01:09.648429+00:00
P0047,Delhivery Logistics,25000.00,INR,2026-08-02,RAZORPAY,2026-08-23 19:01:09.649842+00:00
P0049,Flipkart Internet Pvt Ltd,87100.00,INR,2026-08-02,STRIPE_IN,2026-08-23 19:01:09.649927+00:00
P0052,Wipro Enterprises,49500.00,INR,2026-08-02,RAZORPAY,2026-08-23 19:01:09.650045+00:00
P0056,MakeMyTrip India,55400.00,INR,2026-08-02,RAZORPAY,2026-08-23 19:01:09.650210+00:00
P0068,Apollo Hospitals Ent,61600.00,INR,2026-08-02,RAZORPAY,2026-08-23 19:01:09.650762+00:00
P0078,HDFC Life Insurance,83300.00,INR,2026-08-02,CASHFREE,2026-08-23 19:01:09.651188+00:00
P0083,MakeMyTrip India,59300.00,INR,2026-08-02,RAZORPAY,2026-08-23 19:01:09.651505+00:00
P0106,Titan Company Ltd,90100.00,INR,2026-08-02,STRIPE_IN,2026-08-23 19:01:09.652513+00:00
P0150,Infosys Technologies,123100.00,INR,2026-08-02,STRIPE_IN,2026-08-23 19:01:09.677529+00:00
P0029,Swiggy Bundl Technologies,115400.00,INR,2026-08-01,PAYU,2026-08-23 19:01:09.648854+00:00
P0076,Swiggy Bundl Technologies,89400.00,INR,2026-08-01,STRIPE_IN,2026-08-23 19:01:09.651104+00:00
P0082,Delhivery Logistics,72800.00,INR,2026-08-01,RAZORPAY,2026-08-23 19:01:09.651464+00:00
P0090,Wipro Enterprises,88100.00,INR,2026-08-01,PAYU,2026-08-23 19:01:09.651815+00:00
P0107,Larsen & Toubro Ltd,124600.00,INR,2026-08-01,CASHFREE,2026-08-23 19:01:09.652554+00:00
P0112,Zomato Media Pvt Ltd,132400.00,INR,2026-08-01,CASHFREE,2026-08-23 19:01:09.652780+00:00
P0113,MakeMyTrip India,140700.00,INR,2026-08-01,RAZORPAY,2026-08-23 19:01:09.652826+00:00
P0117,Infosys Technologies,101300.00,INR,2026-08-01,RAZORPAY,2026-08-23 19:01:09.653000+00:00
P0119,Paytm One97 Comm,45800.00,INR,2026-08-01,STRIPE_IN,2026-08-23 19:01:09.653080+00:00
P0122,Wipro Enterprises,27100.00,INR,2026-08-01,PAYU,2026-08-23 19:01:09.653202+00:00
