bank_transaction_id,reference,amount,transaction_date,description,bank_name,created_at
BTX_P0126_B,RAZORPAY_DUP_P0126,134352.64,2026-08-12,Duplicate second credit for P0126,Axis Bank,2026-08-23 19:01:09.720634+00:00
BTX_P0063,RAZORPAY_SETTLE_P0063,113457.68,2026-08-11,Settlement for P0063 / Titan Company Ltd,Kotak Mahindra Bank,2026-08-23 19:01:09.717726+00:00
BTX_P0124_A,RAZORPAY_DUP_P0124,25191.12,2026-08-11,First credit settlement for P0124,Kotak Mahindra Bank,2026-08-23 19:01:09.720432+00:00
BTX_P0124_B,RAZORPAY_DUP_P0124,25191.12,2026-08-11,Duplicate second credit for P0124,Kotak Mahindra Bank,2026-08-23 19:01:09.720471+00:00
BTX_P0146,STRIPE_IN_MYST_P0146,115195.67,2026-08-11,Settlement credit with unexplained gap,Axis Bank,2026-08-23 19:01:09.721048+00:00
BTX_P0147,CASHFREE_MYST_P0147,7010.55,2026-08-11,Settlement credit with unexplained gap,Axis Bank,2026-08-23 19:01:09.721158+00:00
BTX_P0001,STRIPE_IN_SETTLE_P0001,9861.64,2026-08-10,Settlement for P0001 / HDFC Life Insurance,ICICI Bank,2026-08-23 19:01:09.714983+00:00
BTX_P0005,RAZORPAY_SETTLE_P0005,122635.84,2026-08-10,Settlement for P0005 / Titan Company Ltd,ICICI Bank,2026-08-23 19:01:09.715194+00:00
BTX_P0006,STRIPE_IN_SETTLE_P0006,72839.44,2026-08-10,Settlement for P0006 / Apollo Hospitals Ent,ICICI Bank,2026-08-23 19:01:09.715234+00:00
BTX_P0008,RAZORPAY_SETTLE_P0008,73620.56,2026-08-10,Settlement for P0008 / Bharti Airtel Ltd,Axis Bank,2026-08-23 19:01:09.715365+00:00
BTX_P0020,CASHFREE_SETTLE_P0020,54190.20,2026-08-10,Settlement for P0020 / Zomato Media Pvt Ltd,Kotak Mahindra Bank,2026-08-23 19:01:09.715855+00:00
BTX_P0033,CASHFREE_SETTLE_P0033,37884.32,2026-08-10,Settlement for P0033 / Delhivery Logistics,ICICI Bank,2026-08-23 19:01:09.716417+00:00
BTX_P0050,CASHFREE_SETTLE_P0050,82896.36,2026-08-10,Settlement for P0050 / Tata Consultancy Services,State Bank of India,2026-08-23 19:01:09.717114+00:00
BTX_P0058,CASHFREE_SETTLE_P0058,52530.32,2026-08-10,Settlement for P0058 / Mahindra & Mahindra,ICICI Bank,2026-08-23 19:01:09.717524+00:00
BTX_P0061,STRIPE_IN_SETTLE_P0061,106037.04,2026-08-10,Settlement for P0061 / Flipkart Internet Pvt Ltd,State Bank of India,2026-08-23 19:01:09.717645+00:00
BTX_P0067,RAZORPAY_SETTLE_P0067,102522.00,2026-08-10,Settlement for P0067 / Ola ANI Technologies,HDFC Bank,2026-08-23 19:01:09.717893+00:00
BTX_P0069,STRIPE_IN_SETTLE_P0069,132204.56,2026-08-10,Settlement for P0069 / Zomato Media Pvt Ltd,Axis Bank,2026-08-23 19:01:09.717974+00:00
BTX_P0081,PAYU_PAY_P0081,18746.88,2026-08-10,Direct Credit from ZERODHA BROKING,Kotak Mahindra Bank,2026-08-23 19:01:09.718500+00:00
BTX_P0102,PAYU_DELAYED_P0102,92758.00,2026-08-10,Delayed Settlement for P0102 due to weekend/bank holiday,ICICI Bank,2026-08-23 19:01:09.719391+00:00
BTX_P0116,CASHFREE_NET_P0116,80150.64,2026-08-10,Settlement with ₹500 dispute resolution fee adjustment,State Bank of India,2026-08-23 19:01:09.719954+00:00
BTX_P0011,PAYU_SETTLE_P0011,137086.56,2026-08-09,Settlement for P0011 / Reliance Retail Ltd,HDFC Bank,2026-08-23 19:01:09.715488+00:00
BTX_P0021,STRIPE_IN_SETTLE_P0021,77233.24,2026-08-09,Settlement for P0021 / Larsen & Toubro Ltd,Kotak Mahindra Bank,2026-08-23 19:01:09.715896+00:00
BTX_P0037,RAZORPAY_SETTLE_P0037,50870.44,2026-08-09,Settlement for P0037 / Delhivery Logistics,HDFC Bank,2026-08-23 19:01:09.716577+00:00
BTX_P0039,PAYU_SETTLE_P0039,107599.28,2026-08-09,Settlement for P0039 / Infosys Technologies,Axis Bank,2026-08-23 19:01:09.716658+00:00
BTX_P0044,STRIPE_IN_SETTLE_P0044,26655.72,2026-08-09,Settlement for P0044 / Mahindra & Mahindra,ICICI Bank,2026-08-23 19:01:09.716859+00:00
BTX_P0046,RAZORPAY_SETTLE_P0046,97347.08,2026-08-09,Settlement for P0046 / Zerodha Broking Ltd,Axis Bank,2026-08-23 19:01:09.716940+00:00
BTX_P0055,CASHFREE_SETTLE_P0055,139820.48,2026-08-09,Settlement for P0055 / Infosys Technologies,HDFC Bank,2026-08-23 19:01:09.717401+00:00
BTX_P0074,RAZORPAY_SETTLE_P0074,141187.44,2026-08-09,Settlement for P0074 / Flipkart Internet Pvt Ltd,State Bank of India,2026-08-23 19:01:09.718179+00:00
BTX_P0077,PAYU_SETTLE_P0077,138746.44,2026-08-09,Settlement for P0077 / Apollo Hospitals Ent,ICICI Bank,2026-08-23 19:01:09.718335+00:00
BTX_P0097,STRIPE_IN_PAY_P0097,89828.80,2026-08-09,Direct Credit from HDFC Life Insurance ENT,Kotak Mahindra Bank,2026-08-23 19:01:09.719155+00:00
BTX_P0098,RAZORPAY_PAY_P0098,116289.24,2026-08-09,Direct Credit from Reliance Ind - Retail,Axis Bank,2026-08-23 19:01:09.719195+00:00
BTX_P0106,STRIPE_IN_DELAYED_P0106,87973.64,2026-08-09,Delayed Settlement for P0106 due to weekend/bank holiday,Axis Bank,2026-08-23 19:01:09.719552+00:00
BTX_P0130_A,RAZORPAY_DUP_P0130,69324.40,2026-08-09,First credit settlement for P0130,State Bank of India,2026-08-23 19:01:09.720914+00:00
BTX_P0130_B,RAZORPAY_DUP_P0130,69324.40,2026-08-09,Duplicate second credit for P0130,State Bank of India,2026-08-23 19:01:09.720961+00:00
BTX_P0003,STRIPE_IN_SETTLE_P0003,23531.24,2026-08-08,Settlement for P0003 / Tata Consultancy Services,Kotak Mahindra Bank,2026-08-23 19:01:09.715111+00:00
BTX_P0004,CASHFREE_SETTLE_P0004,10154.56,2026-08-08,Settlement for P0004 / Urban Company Technologies,ICICI Bank,2026-08-23 19:01:09.715153+00:00
BTX_P0028,STRIPE_IN_SETTLE_P0028,126639.08,2026-08-08,Settlement for P0028 / Ola ANI Technologies,State Bank of India,2026-08-23 19:01:09.716178+00:00
BTX_P0034,PAYU_SETTLE_P0034,142749.68,2026-08-08,Settlement for P0034 / Delhivery Logistics,Axis Bank,2026-08-23 19:01:09.716457+00:00
BTX_P0041,RAZORPAY_SETTLE_P0041,86216.12,2026-08-08,Settlement for P0041 / Nykaa FSN E-Commerce,HDFC Bank,2026-08-23 19:01:09.716738+00:00
BTX_P0080,CASHFREE_SETTLE_P0080,9568.72,2026-08-08,Settlement for P0080 / Paytm One97 Comm,State Bank of India,2026-08-23 19:01:09.718461+00:00
BTX_P0107,CASHFREE_DELAYED_P0107,121659.44,2026-08-08,Delayed Settlement for P0107 due to weekend/bank holiday,Axis Bank,2026-08-23 19:01:09.719592+00:00
BTX_P0115,CASHFREE_NET_P0115,69800.80,2026-08-08,Settlement with ₹500 dispute resolution fee adjustment,State Bank of India,2026-08-23 19:01:09.719914+00:00
BTX_P0123_A,RAZORPAY_DUP_P0123,84165.68,2026-08-08,First credit settlement for P0123,Kotak Mahindra Bank,2026-08-23 19:01:09.720351+00:00
BTX_P0123_B,RAZORPAY_DUP_P0123,84165.68,2026-08-08,Duplicate second credit for P0123,Kotak Mahindra Bank,2026-08-23 19:01:09.720391+00:00
BTX_P0027,RAZORPAY_SETTLE_P0027,57509.96,2026-08-07,Settlement for P0027 / Tata Consultancy Services,State Bank of India,2026-08-23 19:01:09.716138+00:00
BTX_P0054,RAZORPAY_SETTLE_P0054,20894.96,2026-08-07,Settlement for P0054 / Ola ANI Technologies,Kotak Mahindra Bank,2026-08-23 19:01:09.717354+00:00
BTX_P0100,CASHFREE_PAY_P0100,94027.32,2026-08-07,Direct Credit from Delhivery Logistics ENT,Axis Bank,2026-08-23 19:01:09.719275+00:00
BTX_P0114,RAZORPAY_NET_P0114,96651.80,2026-08-07,Settlement with ₹500 dispute resolution fee adjustment,State Bank of India,2026-08-23 19:01:09.719874+00:00
BTX_P0121_A,RAZORPAY_DUP_P0121,78600.20,2026-08-07,First credit settlement for P0121,ICICI Bank,2026-08-23 19:01:09.720155+00:00
BTX_P0121_B,RAZORPAY_DUP_P0121,78600.20,2026-08-07,Duplicate second credit for P0121,ICICI Bank,2026-08-23 19:01:09.720195+00:00
BTX_P0128_A,PAYU_DUP_P0128,91879.24,2026-08-07,First credit settlement for P0128,Kotak Mahindra Bank,2026-08-23 19:01:09.720753+00:00
BTX_P0128_B,PAYU_DUP_P0128,91879.24,2026-08-07,Duplicate second credit for P0128,Kotak Mahindra Bank,2026-08-23 19:01:09.720793+00:00
BTX_P0148,RAZORPAY_MYST_P0148,72624.63,2026-08-07,Settlement credit with unexplained gap,State Bank of India,2026-08-23 19:01:09.730758+00:00
BTX_P0032,STRIPE_IN_SETTLE_P0032,111309.60,2026-08-06,Settlement for P0032 / Infosys Technologies,Axis Bank,2026-08-23 19:01:09.716377+00:00
BTX_P0040,CASHFREE_SETTLE_P0040,112676.56,2026-08-06,Settlement for P0040 / Flipkart Internet Pvt Ltd,ICICI Bank,2026-08-23 19:01:09.716698+00:00
BTX_P0045,CASHFREE_SETTLE_P0045,94515.52,2026-08-06,Settlement for P0045 / Delhivery Logistics,ICICI Bank,2026-08-23 19:01:09.716900+00:00
BTX_P0065,PAYU_SETTLE_P0065,26265.16,2026-08-06,Settlement for P0065 / HDFC Life Insurance,State Bank of India,2026-08-23 19:01:09.717808+00:00
BTX_P0071,RAZORPAY_SETTLE_P0071,143042.60,2026-08-06,Settlement for P0071 / Infosys Technologies,State Bank of India,2026-08-23 19:01:09.718055+00:00
BTX_P0072,CASHFREE_SETTLE_P0072,115312.84,2026-08-06,Settlement for P0072 / MakeMyTrip India,ICICI Bank,2026-08-23 19:01:09.718097+00:00
BTX_P0075,STRIPE_IN_SETTLE_P0075,86118.48,2026-08-06,Settlement for P0075 / Delhivery Logistics,ICICI Bank,2026-08-23 19:01:09.718219+00:00
BTX_P0094,RAZORPAY_PAY_P0094,44621.48,2026-08-06,Direct Credit from Paytm One97 Comm India,HDFC Bank,2026-08-23 19:01:09.719023+00:00
BTX_P0025,PAYU_SETTLE_P0025,140894.52,2026-08-05,Settlement for P0025 / Tata Consultancy Services,State Bank of India,2026-08-23 19:01:09.716057+00:00
BTX_P0043,RAZORPAY_SETTLE_P0043,139527.56,2026-08-05,Settlement for P0043 / Reliance Retail Ltd,Axis Bank,2026-08-23 19:01:09.716819+00:00
BTX_P0060,RAZORPAY_SETTLE_P0060,129080.08,2026-08-05,Settlement for P0060 / Titan Company Ltd,Kotak Mahindra Bank,2026-08-23 19:01:09.717605+00:00
BTX_P0064,STRIPE_IN_SETTLE_P0064,137477.12,2026-08-05,Settlement for P0064 / Wipro Enterprises,State Bank of India,2026-08-23 19:01:09.717768+00:00
BTX_P0087,PAYU_PAY_P0087,137477.12,2026-08-05,Direct Credit from Mahindra & Mahindra ENT,Kotak Mahindra Bank,2026-08-23 19:01:09.718741+00:00
BTX_P0120,STRIPE_IN_NET_P0120,98995.16,2026-08-05,Settlement with ₹500 dispute resolution fee adjustment,Axis Bank,2026-08-23 19:01:09.720115+00:00
BTX_P0002,CASHFREE_SETTLE_P0002,25288.76,2026-08-04,Settlement for P0002 / Zomato Media Pvt Ltd,HDFC Bank,2026-08-23 19:01:09.715047+00:00
BTX_P0007,CASHFREE_SETTLE_P0007,25288.76,2026-08-04,Settlement for P0007 / Mahindra & Mahindra,HDFC Bank,2026-08-23 19:01:09.715274+00:00
BTX_P0014,STRIPE_IN_SETTLE_P0014,145190.68,2026-08-04,Settlement for P0014 / Zerodha Broking Ltd,Kotak Mahindra Bank,2026-08-23 19:01:09.715610+00:00
BTX_P0031,RAZORPAY_SETTLE_P0031,53018.52,2026-08-04,Settlement for P0031 / Reliance Retail Ltd,Axis Bank,2026-08-23 19:01:09.716335+00:00
BTX_P0038,RAZORPAY_SETTLE_P0038,50577.52,2026-08-04,Settlement for P0038 / Reliance Retail Ltd,State Bank of India,2026-08-23 19:01:09.716617+00:00
BTX_P0095,CASHFREE_PAY_P0095,127029.64,2026-08-04,Direct Credit from Nykaa FSN E-Commerce India,Axis Bank,2026-08-23 19:01:09.719062+00:00
BTX_P0118,RAZORPAY_NET_P0118,134340.84,2026-08-04,Settlement with ₹500 dispute resolution fee adjustment,HDFC Bank,2026-08-23 19:01:09.720035+00:00
BTX_P0149,CASHFREE_MYST_P0149,27319.67,2026-08-04,Settlement credit with unexplained gap,Axis Bank,2026-08-23 19:01:09.730835+00:00
BTX_P0022,RAZORPAY_SETTLE_P0022,23043.04,2026-08-03,Settlement for P0022 / Nykaa FSN E-Commerce,ICICI Bank,2026-08-23 19:01:09.715937+00:00
BTX_P0047,RAZORPAY_SETTLE_P0047,24410.00,2026-08-03,Settlement for P0047 / Delhivery Logistics,HDFC Bank,2026-08-23 19:01:09.716981+00:00
BTX_P0049,STRIPE_IN_SETTLE_P0049,85044.44,2026-08-03,Settlement for P0049 / Flipkart Internet Pvt Ltd,Axis Bank,2026-08-23 19:01:09.717061+00:00
BTX_P0052,RAZORPAY_SETTLE_P0052,48331.80,2026-08-03,Settlement for P0052 / Wipro Enterprises,State Bank of India,2026-08-23 19:01:09.717196+00:00
BTX_P0056,RAZORPAY_SETTLE_P0056,54092.56,2026-08-03,Settlement for P0056 / MakeMyTrip India,Axis Bank,2026-08-23 19:01:09.717441+00:00
BTX_P0068,RAZORPAY_SETTLE_P0068,60146.24,2026-08-03,Settlement for P0068 / Apollo Hospitals Ent,State Bank of India,2026-08-23 19:01:09.717933+00:00
BTX_P0078,CASHFREE_SETTLE_P0078,81334.12,2026-08-03,Settlement for P0078 / HDFC Life Insurance,ICICI Bank,2026-08-23 19:01:09.718380+00:00
BTX_P0083,RAZORPAY_PAY_P0083,57900.52,2026-08-03,Direct Credit from MakeMyTrip India ENT,Kotak Mahindra Bank,2026-08-23 19:01:09.718580+00:00
BTX_P0150,STRIPE_IN_MYST_P0150,119882.39,2026-08-03,Settlement credit with unexplained gap,ICICI Bank,2026-08-23 19:01:09.731031+00:00
BTX_P0029,PAYU_SETTLE_P0029,112676.56,2026-08-02,Settlement for P0029 / Swiggy Bundl Technologies,Axis Bank,2026-08-23 19:01:09.716218+00:00
BTX_P0076,STRIPE_IN_SETTLE_P0076,87290.16,2026-08-02,Settlement for P0076 / Swiggy Bundl Technologies,State Bank of India,2026-08-23 19:01:09.718260+00:00
BTX_P0082,RAZORPAY_PAY_P0082,71081.92,2026-08-02,Direct Credit from Delhivery Logistics India,State Bank of India,2026-08-23 19:01:09.718540+00:00
BTX_P0090,PAYU_PAY_P0090,86020.84,2026-08-02,Direct Credit from Wipro Enterprises India,State Bank of India,2026-08-23 19:01:09.718861+00:00
BTX_P0112,CASHFREE_NET_P0112,128775.36,2026-08-02,Settlement with ₹500 dispute resolution fee adjustment,Kotak Mahindra Bank,2026-08-23 19:01:09.719794+00:00
BTX_P0113,RAZORPAY_NET_P0113,136879.48,2026-08-02,Settlement with ₹500 dispute resolution fee adjustment,Axis Bank,2026-08-23 19:01:09.719834+00:00
BTX_P0117,RAZORPAY_NET_P0117,98409.32,2026-08-02,Settlement with ₹500 dispute resolution fee adjustment,State Bank of India,2026-08-23 19:01:09.719994+00:00
BTX_P0119,STRIPE_IN_NET_P0119,44219.12,2026-08-02,Settlement with ₹500 dispute resolution fee adjustment,ICICI Bank,2026-08-23 19:01:09.720075+00:00
BTX_P0122_A,PAYU_DUP_P0122,26460.44,2026-08-02,First credit settlement for P0122,Kotak Mahindra Bank,2026-08-23 19:01:09.720236+00:00
BTX_P0122_B,PAYU_DUP_P0122,26460.44,2026-08-02,Duplicate second credit for P0122,Kotak Mahindra Bank,2026-08-23 19:01:09.720276+00:00
